ID,TrainDate,TrainNo,StartingStation,EndingStation,TrainTypePrice,TrainTypeName,ArrivalTime,DepartureTime
1,2022/1/14,1,臺北,臺北-環島,19,莒光(有身障座位),06:10:00,06:10:00
2,2022/1/14,1007,基隆,鶯歌,10,區間快,06:44:00,06:44:00
3,2022/1/14,101,臺中,潮州,30,自強(推拉式自強號且無自行車車廂),05:35:00,05:35:00
4,2022/1/14,102,斗六,七堵,30,自強(推拉式自強號且有自行車車廂),05:00:00,05:00:00
5,2022/1/14,103,七堵,潮州,30,自強(推拉式自強號且有自行車車廂),05:57:00,05:57:00
6,2022/1/14,105,基隆,屏東,30,自強(推拉式自強號且無自行車車廂),06:13:00,06:13:00
7,2022/1/14,108,潮州,七堵,30,自強(推拉式自強號且無自行車車廂),05:14:00,05:24:00
8,2022/1/14,109,基隆,彰化,30,自強(推拉式自強號且無自行車車廂),07:34:00,07:34:00
9,2022/1/14,110,臺東,南港,30,普悠瑪,05:53:00,05:53:00
10,2022/1/14,1104,七堵,基隆,5,區間,05:59:00,05:59:00
11,2022/1/14,1105,北湖,苗栗,5,區間,05:54:00,05:59:00
12,2022/1/14,1106,樹林,基隆,5,區間,05:20:00,05:25:00
13,2022/1/14,1107,七堵,苗栗,5,區間,05:04:00,05:04:00
14,2022/1/14,1108,七堵,基隆,5,區間,06:34:00,06:34:00
15,2022/1/14,1109,樹林,新竹,5,區間,05:06:00,05:16:00
16,2022/1/14,111,南港,枋寮,30,普悠瑪,07:42:00,07:42:00
17,2022/1/14,1110,南港,基隆,5,區間,06:36:00,06:36:00
18,2022/1/14,1112,新竹,基隆,5,區間,05:01:00,05:01:00
19,2022/1/14,1117,基隆,苗栗,5,區間,05:33:00,05:33:00
20,2022/1/14,112,潮州,基隆,30,自強(推拉式自強號且無自行車車廂),06:06:00,06:14:00
21,2022/1/14,1121,基隆,新竹,5,區間,05:55:00,05:55:00
22,2022/1/14,1126,北湖,基隆,5,區間,05:43:00,05:55:00
23,2022/1/14,1127,基隆,苗栗,5,區間,06:37:00,06:37:00
24,2022/1/14,1128,新竹,基隆,5,區間,06:02:00,06:02:00
25,2022/1/14,1129,基隆,北湖,5,區間,06:58:00,06:58:00
26,2022/1/14,113,七堵,屏東,30,自強(推拉式自強號且有自行車車廂),07:49:00,07:49:00
27,2022/1/14,1132,新竹,基隆,5,區間,06:22:00,06:22:00
28,2022/1/14,1134,新竹,基隆,5,區間,06:44:00,06:44:00
29,2022/1/14,1135,基隆,北湖,5,區間,07:24:00,07:24:00
30,2022/1/14,1136,北湖,瑞芳,5,區間,07:27:00,07:39:00
31,2022/1/14,1137,基隆,苗栗,5,區間,07:44:00,07:44:00
32,2022/1/14,1138,三義,基隆,5,區間,06:36:00,06:36:00
33,2022/1/14,114,潮州,七堵,30,自強(推拉式自強號且無自行車車廂),07:19:00,07:32:00
34,2022/1/14,1141,基隆,新竹,5,區間,07:56:00,07:56:00
35,2022/1/14,1147,基隆,苗栗,5,區間,08:37:00,08:37:00
36,2022/1/14,1148,苗栗,瑞芳,5,區間,07:24:00,07:24:00
37,2022/1/14,115,基隆,屏東,30,自強(推拉式自強號且無自行車車廂),08:14:00,08:14:00
38,2022/1/14,1151,基隆,新竹,5,區間,08:58:00,08:58:00
39,2022/1/14,1152,新竹,瑞芳,5,區間,08:29:00,08:29:00
40,2022/1/14,1157,基隆,苗栗,5,區間,09:38:00,09:38:00
41,2022/1/14,1158,苗栗,基隆,5,區間,08:11:00,08:11:00
42,2022/1/14,116,屏東,七堵,30,自強(推拉式自強號且無自行車車廂),08:45:00,08:45:00
43,2022/1/14,1161,基隆,新竹,5,區間,10:00:00,10:00:00
44,2022/1/14,1162,新竹,基隆,5,區間,09:30:00,09:30:00
45,2022/1/14,1165,基隆,七堵,5,區間,10:11:00,10:11:00
46,2022/1/14,1167,基隆,北湖,5,區間,10:45:00,10:45:00
47,2022/1/14,1168,苗栗,基隆,5,區間,09:11:00,09:11:00
48,2022/1/14,1169,北湖,苗栗,5,區間,12:34:00,12:44:00
49,2022/1/14,117,基隆,潮州,30,自強(推拉式自強號且無自行車車廂),09:08:00,09:08:00
50,2022/1/14,1171,瑞芳,北湖,5,區間,10:59:00,10:59:00
51,2022/1/14,1172,新竹,基隆,5,區間,10:44:00,10:44:00
52,2022/1/14,1177,瑞芳,苗栗,5,區間,11:30:00,11:30:00
53,2022/1/14,1178,苗栗,基隆,5,區間,10:28:00,10:28:00
54,2022/1/14,118,潮州,七堵,30,自強(推拉式自強號且無自行車車廂),09:29:00,09:29:00
55,2022/1/14,1181,基隆,新竹,5,區間,11:48:00,11:48:00
56,2022/1/14,1182,新竹,基隆,5,區間,11:37:00,11:37:00
57,2022/1/14,1187,基隆,苗栗,5,區間,12:31:00,12:31:00
58,2022/1/14,1188,苗栗,基隆,5,區間,11:12:00,11:12:00
59,2022/1/14,1190,七堵,基隆,5,區間,14:50:00,14:50:00
60,2022/1/14,1191,基隆,新竹,5,區間,12:49:00,12:49:00
61,2022/1/14,1192,新竹,基隆,5,區間,12:39:00,12:39:00
62,2022/1/14,1197,基隆,苗栗,5,區間,13:41:00,13:41:00
63,2022/1/14,1198,苗栗,基隆,5,區間,12:12:00,12:12:00
64,2022/1/14,1200,樹林,基隆,5,區間,14:20:00,14:25:00
65,2022/1/14,1201,基隆,新竹,5,區間,14:02:00,14:02:00
66,2022/1/14,1202,北湖,基隆,5,區間,13:40:00,13:52:00
67,2022/1/14,1207,基隆,苗栗,5,區間,14:41:00,14:41:00
68,2022/1/14,1208,苗栗,基隆,5,區間,13:12:00,13:12:00
69,2022/1/14,121,七堵,屏東,30,自強(推拉式自強號且無自行車車廂),10:30:00,10:30:00
70,2022/1/14,1211,基隆,新竹,5,區間,14:55:00,14:55:00
71,2022/1/14,1212,新竹,基隆,5,區間,14:53:00,14:53:00
72,2022/1/14,1215,基隆,七堵,5,區間,15:23:00,15:23:00
73,2022/1/14,1217,基隆,苗栗,5,區間,15:34:00,15:34:00
74,2022/1/14,1218,苗栗,基隆,5,區間,14:02:00,14:02:00
75,2022/1/14,122,潮州,基隆,30,自強(推拉式自強號且無自行車車廂),11:22:00,11:30:00
76,2022/1/14,1220,樹林,基隆,5,區間,16:18:00,16:24:00
77,2022/1/14,1221,基隆,新竹,5,區間,15:49:00,15:49:00
78,2022/1/14,1222,新竹,基隆,5,區間,15:22:00,15:22:00
79,2022/1/14,1225,基隆,七堵,5,區間,16:07:00,16:07:00
80,2022/1/14,1226,樹林,基隆,5,區間,17:22:00,17:24:00
81,2022/1/14,1227,基隆,苗栗,5,區間,16:27:00,16:27:00
82,2022/1/14,1228,苗栗,基隆,5,區間,15:12:00,15:12:00
83,2022/1/14,123,七堵,屏東,30,自強(推拉式自強號且無自行車車廂),11:25:00,11:25:00
84,2022/1/14,1231,基隆,新竹,5,區間,16:40:00,16:40:00
85,2022/1/14,1232,新竹,基隆,5,區間,16:36:00,16:36:00
86,2022/1/14,1235,基隆,新竹,5,區間,17:18:00,17:18:00
87,2022/1/14,1237,基隆,苗栗,5,區間,17:43:00,17:43:00
88,2022/1/14,1238,苗栗,基隆,5,區間,16:11:00,16:11:00
89,2022/1/14,1241,基隆,新竹,5,區間,18:20:00,18:20:00
90,2022/1/14,1242,新竹,基隆,5,區間,17:45:00,17:45:00
91,2022/1/14,1247,基隆,苗栗,5,區間,18:36:00,18:36:00
92,2022/1/14,1248,苗栗,基隆,5,區間,17:20:00,17:20:00
93,2022/1/14,1249,基隆,七堵,5,區間,18:42:00,18:42:00
94,2022/1/14,125,七堵,屏東,30,自強(推拉式自強號且無自行車車廂),12:28:00,12:28:00
95,2022/1/14,1251,基隆,新竹,5,區間,18:59:00,18:59:00
96,2022/1/14,1252,新竹,基隆,5,區間,18:40:00,18:40:00
97,2022/1/14,1257,基隆,三義,5,區間,19:40:00,19:40:00
98,2022/1/14,1258,苗栗,基隆,5,區間,18:15:00,18:15:00
99,2022/1/14,1261,基隆,中壢,5,區間,19:59:00,19:59:00
100,2022/1/14,1262,新竹,基隆,5,區間,19:28:00,19:28:00
101,2022/1/14,1263,基隆,新竹,5,區間,20:17:00,20:17:00
102,2022/1/14,1265,北湖,苗栗,5,區間,22:16:00,22:26:00
103,2022/1/14,1267,基隆,苗栗,5,區間,20:54:00,20:54:00
104,2022/1/14,1268,苗栗,基隆,5,區間,19:05:00,19:05:00
105,2022/1/14,127,南港,臺東,30,普悠瑪,13:14:00,13:14:00
106,2022/1/14,1270,桃園,松山,5,區間,21:42:00,21:42:00
107,2022/1/14,1271,基隆,北湖,5,區間,20:37:00,20:37:00
108,2022/1/14,1272,新竹,基隆,5,區間,20:03:00,20:03:00
109,2022/1/14,1273,基隆,新竹,5,區間,21:24:00,21:24:00
110,2022/1/14,1278,苗栗,基隆,5,區間,20:10:00,20:10:00
111,2022/1/14,128,屏東,基隆,30,自強(推拉式自強號且無自行車車廂),13:12:00,13:12:00
